Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
264,Tomas Satoransky\satorto01,WAS,$3129187,,,,,,Cap Space,$3129187
265,Bryn Forbes\forbebr01,SAS,$3125000,$2875000,,,,,Early Bird Rights,$6000000
266,Donovan Mitchell\mitchdo01,UTA,$3111480,$3635760,$5195501,,,,1st Round Pick,$3111480
267,Terry Rozier\roziete01,BOS,$3050390,,,,,,1st round pick,$3050390
268,Jerome Robinson\robinje01,LAC,$3046200,$3567720,$3737520,$5340916,,,1st Round Pick,$6613920
269,Yogi Ferrell\ferreyo01,SAC,$3000000,$3150000,,,,,Cap Space,$3000000
270,Elfrid Payton\paytoel01,NOP,$3000000,,,,,,Bi-annual Exception,$3000000
271,Bam Adebayo\adebaba01,MIA,$2955840,$3454080,$5115492,,,,1st Round Pick,$6409920
272,Jakob Poeltl\poeltja01,SAS,$2947320,$3754886,,,,,1st Round pick,$6702206
273,Michael Porter\portemi01,DEN,$2894160,$3389400,$3550800,$5258735,,,1st Round Pick,$6283560
274,Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429,$2844429,$2844429,,,$17066574
275,Justin Jackson\jacksju01,SAC,$2807880,$3280920,$5029650,,,,1st Round Pick,$2807880
276,Thon Maker\makerth01,MIL,$2799720,$3569643,,,,,1st Round pick,$2799720
277,Seth Curry\curryse01,POR,$2795000,,,,,,MLE,$2795000
278,Cedi Osman\osmande01,CLE,$2775000,$2907143,,,,,MLE,$5682143
279,Sam Dekker\dekkesa01,CLE,$2760095,,,,,,1st Round pick,$2760095
280,Troy Brown\browntr01,WAS,$2749080,$3219480,$3372840,$5170564,,,1st Round Pick,$5968560
281,Justin Patton\pattoju01,MIN,$2667600,$3117240,$4781846,,,,1st Round Pick,$2667600
282,Guerschon Yabusele\yabusgu01,BOS,$2667600,$3117240,$4781846,,,,1st Round Pick,$2667600
283,Domantas Sabonis\sabondo01,IND,$2659800,$3529555,,,,,1st Round pick,$6189355
284,Jerian Grant\grantje02,ORL,$2639314,,,,,,1st Round pick,$2639314
285,Zhaire Smith\smithzh01,PHI,$2611800,$3058800,$3204600,$4915856,,,1st Round Pick,$5670600
286,Delon Wright\wrighde01,TOR,$2536898,,,,,,1st Round pick,$2536898
287,D.J. Wilson\wilsodj01,MIL,$2534280,$2961120,$4548280,,,,1st Round Pick,$2534280
288,Dario Saric\saricda01,PHI,$2526840,$3481986,,,,,1st Round pick,$2526840
289,Taurean Waller-Prince\princta02,ATL,$2526840,$3481986,,,,,1st Round pick,$2526840
290,Justin Anderson\anderju01,ATL,$2516048,,,,,,1st Round pick,$2516048
291,Manu Ginobili\ginobma01,SAS,$2500000,,,,,,,$2500000
292,Dante Cunningham\cunnida01,SAS,$2500000,,,,,,Bi-annual Exception,$2500000
293,Reggie Bullock\bullore01,DET,$2500000,,,,,,Cap space,$2500000
294,Bobby Portis\portibo01,CHI,$2494346,,,,,,1st Round pick,$2494346
295,Donte DiVincenzo\divindo01,MIL,$2481000,$2905800,$3044160,$4675830,,,1st Round Pick,$5386800
296,Rondae Hollis-Jefferson\holliro01,BRK,$2470357,,,,,,1st Round pick,$2470357
297,Tyus Jones\jonesty01,MIN,$2444053,,,,,,1st Round pick,$2444053
298,Jarell Martin\martija01,ORL,$2416222,,,,,,1st Round pick,$2416222
299,T.J. Leaf\leaftj01,IND,$2407560,$2813280,$4326825,,,,1st Round Pick,$5220840
300,Jeff Green\greenje02,WAS,$2393887,,,,,,Minimum Salary,$2393887
301,Amir Johnson\johnsam01,PHI,$2393887,,,,,,Minimum Salary,$2393887
302,Raymond Felton\feltora01,OKC,$2393887,,,,,,Minimum Salary,$2393887
303,Luol Deng\denglu01,MIN,$2393887,,,,,,,$2393887
304,Dwyane Wade\wadedw01,MIA,$2393887,,,,,,Minimum Salary,$2393887
305,Udonis Haslem\hasleud01,MIA,$2393887,,,,,,Minimum Salary,$2393887
306,JaVale McGee\mcgeeja01,LAL,$2393887,,,,,,Minimum Salary,$2393887
307,Gerald Green\greenge01,HOU,$2393887,,,,,,Minimum Salary,$2393887
308,Carmelo Anthony\anthoca01,HOU,$2393887,,,,,,Minimum Salary,$2393887
309,Zaza Pachulia\pachuza01,DET,$2393887,,,,,,Minimum Salary,$2393887
310,Jose Calderon\caldejo01,DET,$2393887,,,,,,Minimum Salary,$2393887
311,Devin Harris\harride01,DAL,$2393887,,,,,,Minimum Salary,$2393887
312,Channing Frye\fryech01,CLE,$2393887,,,,,,Minimum Salary,$2393887
313,Vince Carter\cartevi01,ATL,$2393887,,,,,,Minimum Salary,$2393887
314,Emeka Okafor\okafoem01,PHI,$2393887,,,,,,,
315,Jarrett Jack\jackja01,NOP,$2393887,,,,,,,
316,Lonnie Walker\walkelo01,SAS,$2357160,$2760480,$2892000,$4447896,,,1st Round Pick,$5117640
317,Jamal Crawford\crawfja01,ATL,$2304226,,,,,,,$2304226
318,John Collins\collijo01,ATL,$2299080,$2686560,$4137302,,,,1st Round Pick,$2299080
319,Denzel Valentine\valende01,CHI,$2280600,$3377569,,,,,1st Round pick,$2280600
320,Larry Nance\nancela02,CLE,$2272391,,,,,,1st Round pick,$2272391
321,Kevin Huerter\huertke01,ATL,$2250960,$2636280,$2761920,$4253357,,,1st Round Pick,$4887240
322,Monta Ellis\ellismo01,IND,$2245400,$2245400,$2245400,$2245400,,,,$8981600
323,Harry Giles\gilesha01,SAC,$2207040,$2578800,$3976510,,,,1st Round Pick,$2207040
324,Darius Miller\milleda01,NOP,$2205000,,,,,,MLE,$2205000
325,Derrick Rose\rosede01,MIN,$2176260,,,,,,Minimum Salary,$2176260
326,Omri Casspi\casspom01,MEM,$2176260,,,,,,Minimum Salary,$2176260
327,Juan Hernangomez\hernaju01,DEN,$2166360,$3321030,,,,,1st Round pick,$2166360
328,Greg Monroe\monrogr01,TOR,$2165481,,,,,,Minimum Salary,$2165481
329,Jonas Jerebko\jerebjo01,GSW,$2165481,,,,,,Minimum Salary,$2165481
330,Cole Aldrich\aldrico01,ATL,$2165481,,,,,,,
331,Josh Okogie\okogijo01,MIN,$2160720,$2530680,$2651040,$4087904,,,1st Round Pick,$4691400
332,Raul Neto\netora01,UTA,$2150000,$2150000,,,,,,$2150000
333,Matt Barnes\barnema02,SAC,$2133542,$2133541,,,,,,$4267083
334,Terrance Ferguson\fergute01,OKC,$2118840,$2475840,$3944013,,,,1st Round Pick,$2118840
335,Grayson Allen\allengr01,UTA,$2074320,$2429400,$2545320,$4054695,,,1st Round Pick,$4503720
336,Jarrett Allen\allenja01,BRK,$2034120,$2376840,$3909902,,,,1st Round Pick,$2034120
337,Shelvin Mack\macksh01,MEM,$2029463,,,,,,Minimum Salary,$2029463
338,Isaiah Thomas\thomais02,DEN,$2029463,,,,,,Minimum Salary,$2029463
339,Spencer Hawes\hawessp01,MIL,$2007058,$2007058,,,,,,$4014116
340,Georgios Papagiannis\papagge01,SAC,$2000400,,,,,,,$2000400
341,Torrey Craig\craigto01,DEN,$2000000,$2100000,,,,,MLE,$4100000
342,Chandler Hutchison\hutchch01,CHI,$1991520,$2332320,$2443440,$4019459,,,1st Round Pick,$4323840
343,OG Anunoby\anunoog01,TOR,$1952760,$2281800,$3872215,,,,1st Round Pick,$1952760
344,Ante Zizic\zizican01,CLE,$1952760,$2281800,$3872215,,,,1st Round Pick,$1952760
345,Shabazz Napier\napiesh01,BRK,$1942422,$1845301,,,,,Cap Space,$1942422
346,Tyler Zeller\zellety01,MIL,$1933941,,,,,,,
347,Anderson Varejao\varejan01,POR,$1913345,$1913345,$1913345,,,,,$5740035
348,Aaron Holiday\holidaa01,IND,$1911960,$2239200,$2345640,$3980551,,,1st Round Pick,$4151160
349,Lavoy Allen\allenla01,WAS,$1893447,,,,,,,
350,Quincy Pondexter\pondequ01,SAS,$1893447,,,,,,,
351,Tim Duncan\duncati01,SAS,$1881250,,,,,,,$1881250
352,Tyler Lydon\lydonty01,DEN,$1874640,$2190720,,,,,1st Round Pick,$1874640
353,Larry Sanders\sandela01,MIL,$1865547,$1865547,$1865547,$1865547,,,,$7462188
354,Henry Ellenson\ellenhe01,DET,$1857480,$2856804,,,,,1st Round pick,$1857480
355,Anfernee Simons\simonan01,POR,$1835520,$2149560,$2252040,$3938818,,,1st Round Pick,$3985080
356,Trey Burke\burketr01,NYK,$1795015,,,,,,Minimum Salary,$100000
357,Malik Beasley\beaslma01,DEN,$1773840,$2731714,,,,,1st Round pick,$1773840
358,Moritz Wagner\wagnemo01,LAL,$1762080,$2063520,$3893618,$2161920,,,1st Round Pick,$3825600
359,Nerlens Noel\noelne01,OKC,$1757429,$1988119,,,,,Minimum Salary,$1757429
360,Ian Clark\clarkia01,NOP,$1757429,,,,,,Minimum Salary,$1757429
361,Michael Carter-Williams\cartemi01,HOU,$1757429,,,,,,Minimum Salary,$1200000
362,Shabazz Muhammad\muhamsh01,MIL,$1757429,,,,,,,
363,Donald Sloan\sloando01,DEN,$1757429,,,,,,,
364,Thomas Robinson\robinth01,ATL,$1757429,,,,,,,
365,Caleb Swanigan\swanica01,POR,$1740000,$2033160,$3665787,,,,1st Round Pick,$1740000
366,Furkan Korkmaz\korkmfu01,PHI,$1740000,$2033160,$3665787,,,,1st Round Pick,$1740000
367,Landry Shamet\shamela01,PHI,$1703640,$1995120,$2090040,$3768342,,,1st Round Pick,$3698760
368,Caris LeVert\leverca01,BRK,$1702800,$2625718,,,,,1st Round pick,$1702800
369,Jonah Bolden\boldejo01,PHI,$1690000,$1698450,$1766550,$1845000,,,,$3388450
370,Kyle Kuzma\kuzmaky01,LAL,$1689840,$1974600,$3562178,,,,1st Round Pick,$1689840
371,Tony Bradley\bradlto01,UTA,$1679520,$1962360,$3542060,,,,1st Round Pick,$1679520
372,Derrick White\whitede01,SAS,$1667160,$1948080,$3516284,,,,1st Round Pick,$3615240
373,MarShon Brooks\brookma01,MEM,$1656092,,,,,,,$1656092
374,Spencer Dinwiddie\dinwisp01,BRK,$1656092,,,,,,Minimum Salary,$1656092
375,Josh Hart\hartjo01,LAL,$1655160,$1934160,$3491159,,,,1st Round Pick,$1655160
376,Robert Williams\williro04,BOS,$1654440,$1937520,$2029920,$3661976,,,1st Round Pick,$3591960
377,Jacob Evans\evansja02,GSW,$1644240,$1925880,$2017320,$3641263,,,1st Round Pick,$3570120
378,Pat Connaughton\connapa01,MIL,$1641000,$1719000,,,,,,$1641000
379,DeAndre' Bembry\bembrde01,ATL,$1634640,$2603982,,,,,1st Round pick,$1634640
380,Dzanan Musa\musadz01,BRK,$1632240,$1911600,$2002800,$3615054,,,1st Round Pick,$3543840
381,Nik Stauskas\stausni01,POR,$1621415,,,,,,Minimum Salary,$1621415
382,James Ennis\ennisja01,HOU,$1621415,$1845301,,,,,,$1621415
383,Lorenzo Brown\brownlo01,TOR,$1621415,,,,,,,
384,Noah Vonleh\vonleno01,NYK,$1621415,,,,,,,
385,Darius Morris\morrida01,NOP,$1621415,$1845301,,,,,,
386,Tim Frazier\fraziti01,MIL,$1621415,,,,,,,
387,Bruno Caboclo\cabocbr01,HOU,$1621415,,,,,,,
388,Omari Spellman\spellom01,ATL,$1620480,$1897800,$1988280,$3588845,,,1st Round Pick,$3518280
389,Luke Kornet\kornelu01,NYK,$1619000,,,,,,,$1619000
390,Rodions Kurucs\kurucro01,BRK,$1618320,$1699236,$1780152,$1861068,,,,$5097708
391,Richaun Holmes\holmeri01,PHO,$1600520,,,,,,,
392,T.J. McConnell\mccontj01,PHI,$1600520,,,,,,,
393,Malachi Richardson\richama01,TOR,$1569360,$2581597,,,,,1st Round pick,$1569360
394,Kevon Looney\looneke01,GSW,$1567007,,,,,,,$1567007
395,Salah Mejri\mejrisa01,DAL,$1567007,,,,,,Minimum Salary,$1567007
396,Eric Moreland\moreler01,TOR,$1567007,,,,,,,
397,Anthony Brown\brownan02,PHI,$1567007,,,,,,,
398,Jahlil Okafor\okafoja01,NOP,$1567007,$1702486,,,,,,
399,K.J. McDaniels\mcdankj01,MIN,$1567007,,,,,,,
400,JaKarr Sampson\sampsja02,MIL,$1567007,,,,,,,
401,Briante Weber\weberbr01,MIA,$1567007,,,,,,,
402,Jarnell Stokes\stokeja01,MIA,$1567007,,,,,,,
403,Chris McCullough\mcculch01,DET,$1567007,,,,,,,
404,R.J. Hunter\hunterj01,ATL,$1567007,,,,,,,
405,Dejounte Murray\murrade01,SAS,$1544951,$2321735,,,,,1st Round pick,$3866686
406,Pascal Siakam\siakapa01,TOR,$1544951,$2351839,,,,,1st Round pick,$1544951
407,Deyonta Davis\davisde01,SAC,$1544951,,,,,,,$1544951
408,Skal Labissiere\labissk01,SAC,$1544951,$2338847,,,,,1st Round pick,$1544951
409,Wade Baldwin\baldwwa01,POR,$1544951,,,,,,Minimum Salary,$1544951
410,Jake Layman\laymaja01,POR,$1544951,,,,,,Cap Space,$1544951
411,Timothe Luwawu-Cabarrot\luwawti01,OKC,$1544951,$2529684,,,,,1st Round pick,$1544951
412,Cheick Diallo\diallch01,NOP,$1544951,,,,,,Minimum Salary,$1544951
413,Malcolm Brogdon\brogdma01,MIL,$1544951,,,,,,Cap Space,$1544951
414,Rodney McGruder\mcgruro01,MIA,$1544951,,,,,,Minimum Salary,$1544951
415,Wayne Selden\seldewa01,MEM,$1544951,,,,,,,$1544951
416,Ivica Zubac\zubaciv01,LAL,$1544951,,,,,,Cap Space,$1544951
417,Damian Jones\jonesda03,GSW,$1544951,$2305057,,,,,1st Round pick,$1544951
418,Quinn Cook\cookqu01,GSW,$1544951,,,,,,,$1544951
419,Chinanu Onuaku\onuakch01,DAL,$1544951,,,,,,,$1544951
420,Dorian Finney-Smith\finnedo01,DAL,$1544951,,,,,,Minimum Salary,$1544951
421,Willy Hernangomez\hernawi01,CHO,$1544951,$1701735,,,,,Cap Space,$1544951
422,Andrew Harrison\harrian01,MEM,$1544951,,,,,,,
423,Georges Niang\niangge01,UTA,$1512601,$1645357,$1783557,,,,,$1512601
424,Derrick Jones\jonesde02,MIA,$1512601,$1645357,,,,,Minimum Salary,$1512601
425,David Nwaba\nwabada01,CLE,$1512601,,,,,,Minimum Salary,$1512601
426,Treveon Graham\grahatr01,BRK,$1512601,$1645357,,,,,Minimum Salary,$1512601
427,Christian Wood\woodch01,MIL,$1512601,,,,,,Minimum Salary,$100000
428,Kay Felder\feldeka01,TOR,$1512601,,,,,,,
429,Okaro White\whiteok01,SAS,$1512601,,,,,,,
430,Chinanu Onuaku\onuakch01,POR,$1512601,,,,,,,
431,Gary Payton II\paytoga02,POR,$1512601,,,,,,,
432,Isaiah Canaan\canaais01,PHO,$1512601,,,,,,,
433,Troy Williams\willitr02,NOP,$1512601,$1645357,,,,,,
434,Darius Johnson-Odom\johnsda03,MIN,$1512601,,,,,,,
435,Danuel House\houseda01,GSW,$1512601,,,,,,,
436,Tyler Ulis\ulisty01,GSW,$1512601,,,,,,,
437,Xavier Silas\silasxa01,DEN,$1512601,,,,,,,
438,Isaiah Taylor\taylois01,CLE,$1512601,,,,,,,
439,Sviatoslav Mykhailiuk\mykhasv01,LAL,$1487694,$1416852,$1663861,,,,Cap Space,$1487694
440,Mitchell Robinson\robinmi01,NYK,$1485440,$1559712,$1663861,$1802057,,,MLE,$3045152
441,Jordan Bell\belljo01,GSW,$1378252,,,,,,Minimum Salary,$1378252
442,Frank Jackson\jacksfr01,NOP,$1378242,$1618520,,,,,MLE,$1884242
443,Thomas Bryant\bryanth01,WAS,$1378242,,,,,,Minimum Salary,$1378242
444,Frank Mason\masonfr01,SAC,$1378242,$1618520,,,,,,$1378242
445,Davon Reed\reedda01,PHO,$1378242,$1618520,,,,,Minimum Salary,$1378242
446,Wesley Iwundu\iwundwe01,ORL,$1378242,$1618520,,,,,,$1378242
447,Khem Birch\birchkh01,ORL,$1378242,,,,,,Minimum Salary,$1378242
448,Abdel Nader\naderab01,OKC,$1378242,$1618520,$1752950,,,,,$1378242
449,Damyean Dotson\dotsoda01,NYK,$1378242,$1618520,,,,,Minimum Salary,$1378242
450,Sterling Brown\brownst02,MIL,$1378242,$1618520,,,,,MLE,$1378242
451,Rade Zagorac\zagorra01,MEM,$1378242,,,,,,,$1378242
452,Dillon Brooks\brookdi01,MEM,$1378242,$1618520,,,,,MLE,$1378242
453,Ivan Rabb\rabbiv01,MEM,$1378242,$1618520,,,,,MLE,$1378242
454,Jawun Evans\evansja01,LAC,$1378242,$1618520,,,,,MLE,$1378242
455,Sindarius Thornwell\thornsi01,LAC,$1378242,$1618520,,,,,MLE,$1378242
456,Ike Anigbogu\anigbik01,IND,$1378242,$1618520,,,,,Cap space,$1378242
457,Maxi Kleber\klebima01,DAL,$1378242,,,,,,Minimum Salary,$1378242
458,Dwayne Bacon\bacondw01,CHO,$1378242,$1618520,,,,,MLE,$1378242
459,Semi Ojeleye\ojelese01,BOS,$1378242,$1618520,$1752950,,,,,$1378242
460,Daniel Theis\theisda01,BOS,$1378242,,,,,,Minimum Salary,$1378242
461,Tyler Dorsey\dorsety01,ATL,$1378242,,,,,,Minimum Salary,$1378242
462,Shaquille Harrison\harrish01,PHO,$1378242,,,,,,,$50000
463,Royce O'Neale\onealro01,UTA,$1378242,$1618520,,,,,,
464,Zhou Qi\qizh01,HOU,$1378242,$1618520,$1752950,,,,,
465,Antonius Cleveland\clevean01,CHI,$1378242,,,,,,,
466,Kevin Martin\martike02,MIN,$1360304,,,,,,,$1360304
467,Monte Morris\morrimo01,DEN,$1349383,$1588231,$1663861,,,,Minimum Salary,$2937614
468,Antonio Blakeney\blakean01,CHI,$1349383,$1588231,,,,,Minimum Salary,$2937614
469,Jabari Bird\birdja01,BOS,$1349383,$1588231,,,,,Minimum Salary,$1349383
470,Daniel Hamilton\hamilda02,ATL,$1349383,,,,,,Minimum Salary,$1349383
471,Chasson Randle\randlch01,WAS,$1349383,,,,,,,
472,Chris Boucher\bouchch01,TOR,$1349383,,,,,,,
473,Kyle Collinsworth\colliky01,TOR,$1349383,,,,,,,
474,Nick Johnson\johnsni01,SAS,$1349383,,,,,,,
475,Jamel Artis\artisja01,SAC,$1349383,,,,,,,
476,Kadeem Allen\allenka01,NYK,$1349383,,,,,,,
477,James Nunnally\nunnaja01,MIN,$1349383,$1588231,,,,,,
478,Tyrone Wallace\wallaty01,LAC,$1349383,$1588231,,,,,,
479,Omari Johnson\johnsom01,IND,$1349383,,,,,,,
480,Ben Moore\moorebe01,IND,$1349383,,,,,,,
481,Alfonzo McKinnie\mckinal01,GSW,$1349383,,,,,,,
482,Jalen Jones\jonesja04,DAL,$1349383,,,,,,,
483,Kobi Simmons\simmoko01,CLE,$1349383,,,,,,,
484,Derrick Walton\waltode01,CHI,$1349383,,,,,,,
485,Ryan Arcidiacono\arcidry01,CHI,$1349383,,,,,,,
486,Elie Okobo\okoboel01,PHO,$1238464,$1416852,$1663861,$1802057,,,,$2655316
487,Jalen Brunson\brunsja01,DAL,$1230000,$1416582,$1663861,$1802057,,,Cap Space,$4310443
488,Melvin Frazier\frazime01,ORL,$1050000,$1416852,$1663861,,,,MLE,$2466852
489,Isaac Bonga\bongais01,LAL,$1000000,$1663861,$1416852,,,,,$2663861
490,Justin Hamilton\hamilju01,TOR,$1000000,$1000000,,,,,,$2000000
491,Shelvin Mack\macksh01,ORL,$1000000,,,,,,,$1000000
492,Kyle Singler\singlky01,OKC,$999200,$999200,$999200,$999200,$999200,,,$4996000
493,Devonte' Graham\grahade01,CHO,$988464,$1416852,$1663861,,,,MLE,$2405316
494,De'Anthony Melton\meltode01,PHO,$949000,$1416852,,,,,,$2365852
495,Jason Thompson\thompja02,GSW,$945126,,,,,,,$945126
496,Gary Trent\trentga02,POR,$838464,$1416852,$1663861,,,,MLE,$3919177
497,Hamidou Diallo\diallha01,OKC,$838464,$1416852,$1663861,,,,MLE,$2255316
498,Keita Bates-Diop\bateske01,MIN,$838464,$1416852,$1663861,,,,MLE,$2255316
499,Jevon Carter\carteje01,MEM,$838464,$1416852,,,,,MInimum Salary,$2255316
500,Bruce Brown\brownbr01,DET,$838464,$1416852,$1663861,,,,MLE,$2255316
501,Jarred Vanderbilt\vandeja01,DEN,$838464,$1663861,$1416852,,,,MLE,$2255316
502,Ray Spalding\spaldra01,DAL,$838464,$1416852,$1663861,$1802057,,,Minimum Salary,$2255316
503,Khyri Thomas\thomakh01,DET,$838464,$838464,$1663861,,,,MLE,$1676928
504,Chimezie Metu\metuch01,SAS,$838464,,,,,,MLE,$838464
505,Alize Johnson\johnsal02,IND,$838464,$1416852,,,,,Minimum Salary,$838464
506,Isaiah Hartenstein\harteis01,HOU,$838464,$1416852,$1663861,,,,MLE,$838464
507,Ryan Broekhoff\broekry01,DAL,$838464,$1443842,,,,,,$838464
508,Brad Wanamaker\wanambr01,BOS,$838464,,,,,,Minimum Salary,$838464
509,Isaiah Briscoe\briscis01,ORL,$838464,$1663861,$838464,,,,MLE,$500000
510,Tiwian Kendley\kendlti01,WAS,$838464,,,,,,,
511,Chris Chiozza\chiozch01,WAS,$838464,,,,,,,
512,Isaac Haas\haasis01,UTA,$838464,,,,,,,
513,Jairus Lyles\lylesja01,UTA,$838464,,,,,,,
514,Trey Lewis\lewistr01,UTA,$838464,,,,,,,
515,Deng Adel\adelde01,TOR,$838464,,,,,,,
516,Jaron Blossomgame\blossja01,SAS,$838464,,,,,,,
517,Cameron Reynolds\reynoca01,SAC,$838464,,,,,,,
518,Cameron Oliver\oliveca01,POR,$838464,,,,,,,
519,Norvel Pelle\pelleno01,PHI,$838464,,,,,,,
520,Devin Davis\davisde02,ORL,$838464,,,,,,,
521,B.J. Johnson\johnsbj01,ORL,$838464,,,,,,,
522,Braian Angola-Rodas\angolbr01,ORL,$838464,,,,,,,
523,Donte Grantham\grantdo01,OKC,$838464,,,,,,,
524,Kenrich Williams\willike04,NOP,$838464,$1416852,,,,,,
525,Garlon Green\greenga02,NOP,$838464,$1416852,,,,,,
526,Bryce Alford\alforbr01,MIN,$838464,,,,,,,
527,Jonathan Stark\starkjo02,MIN,$838464,,,,,,,
528,Abdul Gaddy\gaddyab01,MIN,$838464,,,,,,,
529,Richard Solomon\solomri01,MIN,$838464,,,,,,,
530,Marcus Lee\leema02,MIA,$838464,,,,,,,
531,Malik Newman\newmama01,MIA,$838464,,,,,,,
532,Brandon Goodwin\goodwbr01,MEM,$838464,,,,,,,
533,Doral Moore\mooredo01,MEM,$838464,,,,,,,
534,Ismaila Kane\kaneis01,MEM,$838464,,,,,,,
535,Markel Crawford\crawfma01,MEM,$838464,,,,,,,
536,Jeffrey Carroll\carroje01,LAL,$838464,,,,,,,
537,Joel Berry\berryjo01,LAL,$838464,,,,,,,
538,Johnathan Williams\willijo04,LAL,$838464,,,,,,,
539,Desi Rodriguez\rodride01,LAC,$838464,,,,,,,
540,Elijah Stewart\stewael01,IND,$838464,,,,,,,
541,Gary Clark\clarkga01,HOU,$838464,,,,,,,
542,Vince Edwards\edwarvi01,HOU,$838464,,,,,,,
543,Rob Gray\grayro01,HOU,$838464,,,,,,,
544,Kendrick Nunn\nunnke01,GSW,$838464,,,,,,,
545,Marcus Derrickson\derrima01,GSW,$838464,,,,,,,
546,Johnny Hamilton\hamiljo03,DET,$838464,,,,,,,
547,Zach Lofton\loftoza01,DET,$838464,,,,,,,
548,Emanuel Terry\terryem01,DEN,$838464,,,,,,,
549,Ding Yanyuhang\yanyudi01,DAL,$838464,,,,,,,
550,Codi Miller-McIntyre\milleco01,DAL,$838464,,,,,,,
551,Bonzie Colson\colsobo01,CLE,$838464,,,,,,,
552,Levi Randolph\randole01,CLE,$838464,,,,,,,
553,Joe Chealey\chealjo01,CHO,$838464,,,,,,,
554,Zach Smith\smithza01,CHO,$838464,,,,,,,
555,Jaylen Barford\barfoja01,CHO,$838464,,,,,,,
556,Isaiah Wilkins\wilkiis01,CHO,$838464,,,,,,,
557,Kaiser Gates\gateska01,CHI,$838464,,,,,,,
558,Mitch Creek\creekmi01,BRK,$838464,,,,,,,
559,Theo Pinson\pinsoth01,BRK,$838464,,,,,,,
560,Nuni Omot\omotnu01,BRK,$838464,,,,,,,
561,Jordan McLaughlin\mclaujo01,BRK,$838464,,,,,,,
562,Jeff Roberson\roberje01,BOS,$838464,,,,,,,
563,Nick King\kingni01,BOS,$838464,,,,,,,
564,Martell Webster\webstma02,WAS,$833333,,,,,,,$833333
565,Cole Aldrich\aldrico01,MIN,$685341,$685340,$685340,,,,,$2056021
566,Carlos Delfino\delfica01,LAC,$650000,,,,,,,$650000
567,Caron Butler\butleca01,SAC,$517219,,,,,,,$517219
568,Dakari Johnson\johnsda04,MEM,$459414,$459414,$459414,,,,,$1378242
569,A.J. Hammons\hammoaj01,MIA,$350088,$350087,$350087,,,,,$1050262
570,Festus Ezeli\ezelife01,POR,$333333,$333333,,,,,,$666666
571,C.J. Watson\watsocj01,ORL,$333333,$333333,,,,,,$666666
572,Miroslav Raduljica\radulmi01,LAC,$252043,,,,,,,$252043
573,Troy Williams\willitr02,HOU,$122741,$122741,$122741,$122741,$122741,,,$613705
574,Emeka Okafor\okafoem01,NOP,$100000,,,,,,,$100000
575,Demetrius Jackson\jacksde01,BOS,$92857,$92857,$92857,$92857,$92857,,,$557142